OBJECTID,lat,long,monthave,date,site,name,month,day,year,dateorig,doy
114,39.0561,-95.1907,0.666456878,2017-5-15T00:00:00.000Z,US-KFS,Kansas Field Station,5,15,2017,5/15/2017 0:00,135
115,39.0561,-95.1907,0.680918694,2017-6-15T00:00:00.000Z,US-KFS,Kansas Field Station,6,15,2017,6/15/2017 0:00,166
116,39.0561,-95.1907,0.696863711,2017-7-15T00:00:00.000Z,US-KFS,Kansas Field Station,7,15,2017,7/15/2017 0:00,196
117,39.0561,-95.1907,0.641137898,2017-8-15T00:00:00.000Z,US-KFS,Kansas Field Station,8,15,2017,8/15/2017 0:00,227
118,39.0561,-95.1907,0.374545693,2017-9-15T00:00:00.000Z,US-KFS,Kansas Field Station,9,15,2017,9/15/2017 0:00,258
119,39.0561,-95.1907,0.175217256,2017-10-15T00:00:00.000Z,US-KFS,Kansas Field Station,10,15,2017,10/15/2017 0:00,288
120,39.0561,-95.1907,0.136819407,2017-11-15T00:00:00.000Z,US-KFS,Kansas Field Station,11,15,2017,11/15/2017 0:00,319
121,39.0561,-95.1907,0.121576265,2017-12-15T00:00:00.000Z,US-KFS,Kansas Field Station,12,15,2017,12/15/2017 0:00,349
122,39.0824,-96.5603,0.292915314,2007-1-15T00:00:00.000Z,US-Kon,Konza Prairie LTER (),1,15,2007,1/15/2007 0:00,15
123,39.0824,-96.5603,0.056258541,2007-3-15T00:00:00.000Z,US-Kon,Konza Prairie LTER (),3,15,2007,3/15/2007 0:00,74
124,39.0824,-96.5603,0.351851076,2007-4-15T00:00:00.000Z,US-Kon,Konza Prairie LTER (),4,15,2007,4/15/2007 0:00,105
125,39.0824,-96.5603,0.542379081,2007-5-15T00:00:00.000Z,US-Kon,Konza Prairie LTER (),5,15,2007,5/15/2007 0:00,135
126,39.0824,-96.5603,0.616627395,2007-6-15T00:00:00.000Z,US-Kon,Konza Prairie LTER (),6,15,2007,6/15/2007 0:00,166
127,39.0824,-96.5603,0.654870272,2007-7-15T00:00:00.000Z,US-Kon,Konza Prairie LTER (),7,15,2007,7/15/2007 0:00,196
128,39.0824,-96.5603,0.552922308,2007-8-15T00:00:00.000Z,US-Kon,Konza Prairie LTER (),8,15,2007,8/15/2007 0:00,227
129,39.0824,-96.5603,0.243608832,2007-9-15T00:00:00.000Z,US-Kon,Konza Prairie LTER (),9,15,2007,9/15/2007 0:00,258
130,39.0824,-96.5603,0.132976666,2007-10-15T00:00:00.000Z,US-Kon,Konza Prairie LTER (),10,15,2007,10/15/2007 0:00,288
131,39.0824,-96.5603,0.026159259,2007-11-15T00:00:00.000Z,US-Kon,Konza Prairie LTER (),11,15,2007,11/15/2007 0:00,319
132,39.0824,-96.5603,0.165234968,2007-12-15T00:00:00.000Z,US-Kon,Konza Prairie LTER (),12,15,2007,12/15/2007 0:00,349
133,39.0824,-96.5603,0.151748747,2008-1-15T00:00:00.000Z,US-Kon,Konza Prairie LTER (),1,15,2008,1/15/2008 0:00,15
134,39.0824,-96.5603,0.095244355,2008-3-15T00:00:00.000Z,US-Kon,Konza Prairie LTER (),3,15,2008,3/15/2008 0:00,75
135,39.0824,-96.5603,0.204088986,2008-4-15T00:00:00.000Z,US-Kon,Konza Prairie LTER (),4,15,2008,4/15/2008 0:00,106
136,39.0824,-96.5603,0.480247319,2008-5-15T00:00:00.000Z,US-Kon,Konza Prairie LTER (),5,15,2008,5/15/2008 0:00,136
137,39.0824,-96.5603,0.805240333,2008-6-15T00:00:00.000Z,US-Kon,Konza Prairie LTER (),6,15,2008,6/15/2008 0:00,167
138,39.0824,-96.5603,0.798012197,2008-7-15T00:00:00.000Z,US-Kon,Konza Prairie LTER (),7,15,2008,7/15/2008 0:00,197
139,39.0824,-96.5603,0.643952727,2008-8-15T00:00:00.000Z,US-Kon,Konza Prairie LTER (),8,15,2008,8/15/2008 0:00,228
140,39.0824,-96.5603,0.312864125,2008-9-15T00:00:00.000Z,US-Kon,Konza Prairie LTER (),9,15,2008,9/15/2008 0:00,259
141,39.0824,-96.5603,0.236396208,2008-10-15T00:00:00.000Z,US-Kon,Konza Prairie LTER (),10,15,2008,10/15/2008 0:00,289
142,39.0824,-96.5603,0.057034381,2008-11-15T00:00:00.000Z,US-Kon,Konza Prairie LTER (),11,15,2008,11/15/2008 0:00,320
143,39.0824,-96.5603,0.045812041,2008-12-15T00:00:00.000Z,US-Kon,Konza Prairie LTER (),12,15,2008,12/15/2008 0:00,350
144,39.0824,-96.5603,0.113043815,2009-2-15T00:00:00.000Z,US-Kon,Konza Prairie LTER (),2,15,2009,2/15/2009 0:00,46
145,39.0824,-96.5603,0.134920612,2009-3-15T00:00:00.000Z,US-Kon,Konza Prairie LTER (),3,15,2009,3/15/2009 0:00,74
146,39.0824,-96.5603,0.135043129,2009-4-15T00:00:00.000Z,US-Kon,Konza Prairie LTER (),4,15,2009,4/15/2009 0:00,105
147,39.0824,-96.5603,0.650673747,2009-5-15T00:00:00.000Z,US-Kon,Konza Prairie LTER (),5,15,2009,5/15/2009 0:00,135
148,39.0824,-96.5603,0.654546499,2009-6-15T00:00:00.000Z,US-Kon,Konza Prairie LTER (),6,15,2009,6/15/2009 0:00,166
